t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.05226396,0.01239478
0.25000000,0.05000686,0.00740722,0.04230347,-0.03971033
0.25000000,0.05000686,0.00740722,0.05556561,0.02901849
0.25000000,0.05000686,0.00740722,0.05697383,0.03601351
0.25000000,0.05000686,0.00740722,0.03555511,-0.07674807
0.25000000,0.05000686,0.00740722,0.04036133,-0.05022247
0.25000000,0.05000686,0.00740722,0.05095380,0.00571028
0.25000000,0.05000686,0.00740722,0.04766438,-0.01129591
0.25000000,0.05000686,0.00740722,0.04988241,0.00020649
0.25000000,0.05000686,0.00740722,0.04368817,-0.03228682
0.25000000,0.05000686,0.00740722,0.05652075,0.03376911
0.25000000,0.05000686,0.00740722,0.05576813,0.03002795
0.25000000,0.05000686,0.00740722,0.05049596,0.00336249
0.25000000,0.05000686,0.00740722,0.05835658,0.04282728
0.25000000,0.05000686,0.00740722,0.05346980,0.01850271
0.25000000,0.05000686,0.00740722,0.04364189,-0.03253400
0.25000000,0.05000686,0.00740722,0.05273828,0.01480236
0.25000000,0.05000686,0.00740722,0.04290420,-0.03648247
0.25000000,0.05000686,0.00740722,0.05651373,0.03373429
0.25000000,0.05000686,0.00740722,0.04963705,-0.00105872
0.25000000,0.05000686,0.00740722,0.04863754,-0.00623116
0.25000000,0.05000686,0.00740722,0.04496306,-0.02550415
0.25000000,0.05000686,0.00740722,0.05906249,0.04628498
0.25000000,0.05000686,0.00740722,0.04886222,-0.00506584
0.25000000,0.05000686,0.00740722,0.04683414,-0.01563929
0.25000000,0.05000686,0.00740722,0.04739853,-0.01268446
0.25000000,0.05000686,0.00740722,0.05394979,0.02092223
0.25000000,0.05000686,0.00740722,0.05271378,0.01467819
0.25000000,0.05000686,0.00740722,0.05306406,0.01645222
0.25000000,0.05000686,0.00740722,0.05319804,0.01712986
0.25000000,0.05000686,0.00740722,0.06587051,0.07892372
0.25000000,0.05000686,0.00740722,0.04699645,-0.01478853
0.25000000,0.05000686,0.00740722,0.04621256,-0.01890466
0.25000000,0.05000686,0.00740722,0.04397906,-0.03073484
0.25000000,0.05000686,0.00740722,0.05456955,0.02403651
0.25000000,0.05000686,0.00740722,0.05836940,0.04289021
0.25000000,0.05000686,0.00740722,0.04916282,-0.00350912
0.25000000,0.05000686,0.00740722,0.04378363,-0.03177723
0.25000000,0.05000686,0.00740722,0.04389974,-0.03115778
0.25000000,0.05000686,0.00740722,0.05482594,0.02532161
0.25000000,0.05000686,0.00740722,0.05551230,0.02875258
0.25000000,0.05000686,0.00740722,0.05403012,0.02132652
0.25000000,0.05000686,0.00740722,0.04507728,-0.02489892
0.25000000,0.05000686,0.00740722,0.05172653,0.00965885
0.25000000,0.05000686,0.00740722,0.05087118,0.00528704
0.25000000,0.05000686,0.00740722,0.05162673,0.00914989
0.25000000,0.05000686,0.00740722,0.05646172,0.03347627
0.25000000,0.05000686,0.00740722,0.05166308,0.00933529
0.25000000,0.05000686,0.00740722,0.05503572,0.02637167
0.25000000,0.05000686,0.00740722,0.05050743,0.00342138
0.25000000,0.05000686,0.00740722,0.05214843,0.01180734
0.25000000,0.05000686,0.00740722,0.05468295,0.02460511
0.25000000,0.05000686,0.00740722,0.03921339,-0.05649140
0.25000000,0.05000686,0.00740722,0.04763898,-0.01142847
0.25000000,0.05000686,0.00740722,0.04652270,-0.01727392
0.25000000,0.05000686,0.00740722,0.04527455,-0.02385453
0.25000000,0.05000686,0.00740722,0.04796882,-0.00970843
0.25000000,0.05000686,0.00740722,0.06108022,0.05609144
0.25000000,0.05000686,0.00740722,0.04359346,-0.03279272
0.25000000,0.05000686,0.00740722,0.05717911,0.03702849
0.25000000,0.05000686,0.00740722,0.03754147,-0.06569620
0.25000000,0.05000686,0.00740722,0.04752629,-0.01201688
0.25000000,0.05000686,0.00740722,0.05121241,0.00703369
0.25000000,0.05000686,0.00740722,0.05434914,0.02293019
0.25000000,0.05000686,0.00740722,0.05527507,0.02756822
